factor_id,Sharpe
wr,0.4712931258815068
volume_vwap,-1.4622042939892779
volume_vpt,0.42834821505829374
volume_obv,0.4521574721840393
volume_nvi,0.8806182740887712
volume_mfi,-0.7530427832069383
volume_fi,-0.45235473594703307
volume_cmf,-0.7723721288000089
volume_adi,0.8367229714348146
volume,0.6240775643034826
volatility_ui,0.7913383045258773
volatility_kcw,0.7829298888505547
volatility_kcp,-0.5110389591822128
volatility_kcl,-1.44727950471147
volatility_kch,-1.4530253844018273
volatility_kcc,-1.450729907729072
volatility_dcw,0.7503936146761273
volatility_dcp,-0.6494640482944305
volatility_dcm,-1.4561020816649748
volatility_dcl,-1.4323360355679173
volatility_dch,-1.4654898856496417
volatility_bbw,0.6695647763459319
volatility_bbp,-0.541911757298821
volatility_bbm,-1.4366492086925837
volatility_bbl,-1.423577029639242
volatility_bbh,-1.4547384407462673
volatility_atr,1.4713209921219053
vol_vo_p_1m,0.6025575507983401
vol_vo_p_12m,1.067296619274869
trend_vortex_ind_pos,-1.0327406578262712
trend_vortex_ind_neg,0.8540583852092468
trend_vortex_ind_diff,-0.9738325292404455
trend_visual_ichimoku_b,-1.3233206462517035
trend_visual_ichimoku_a,-1.4191559997387142
trend_trix,-0.3084989478699385
trend_stc,-0.543936967169235
trend_sma_slow,-1.4259955810860867
trend_sma_fast,-1.4560600674801805
trend_psar_up,-1.0086879621219993
trend_psar_down,-1.2285496106404974
trend_macd_signal,-0.3195575988838298
trend_macd_diff,-0.45223880331529215
trend_macd,-0.49994348682888207
trend_kst_sig,-0.3549847815999939
trend_kst,-0.3994127435481043
trend_ichimoku_conv,-1.4597050527521118
trend_ichimoku_base,-1.4457103849354942
trend_ichimoku_b,-1.4695922440100253
trend_ichimoku_a,-1.4441804076400808
trend_ema_slow,-1.4405436179221267
trend_ema_fast,-1.4594267991581504
trend_cci,-0.589980002569832
trend_aroon_up,-0.5147729563152211
trend_aroon_ind,-0.8514487197544223
trend_adx_pos,-0.7891781988874214
price_to_52w_low,0.3466354934087019
price_to_52w_high,0.7842053152614246
price_to_52w_close_high,0.8349328374714025
others_cr,0.8939839735891503
open,-1.4417234686137257
momentum_wr,-0.7242608745913506
momentum_uo,-1.0048984691170266
momentum_tsi,-0.6870011710787212
momentum_stoch_signal,-0.6966308097061348
momentum_stoch_rsi_k,-0.39816950917180427
momentum_stoch_rsi_d,-0.4478045836251187
momentum_stoch,-0.7237754165744069
momentum_rsi,-0.7100486060200478
momentum_pvo_signal,0.3392725492616885
momentum_pvo_hist,0.5150716198260054
momentum_pvo,0.3114952564136187
momentum_ppo_signal,-0.34323449543583134
momentum_ppo_hist,-0.5470277893578989
momentum_ppo,-0.30360365646501514
momentum_kama,-1.4550978212004368
momentum_ao,-0.5534463108155255
momentum_9m,0.33235338026447314
momentum_5y,0.885210428915087
momentum_12m_1m,0.8982885509921846
momentum_12m,0.4742010436673995
low,-1.4533534514639188
lottery,0.7412467769490552
log_volume,0.6240775643034827
log_price,-1.4428941091957777
high,-1.4683591329024615
close,-1.4428941091957774
amihud,0.7973601672830561
adtv_30d,0.6571481495796522
